收信人,类型代码,类型名称,样本数,观察封数,控制模型,期望封数,差值_百分点,MH_OR,OR95%CI下限,OR95%CI上限,logOR标准误,信息分层数,可对照书信数,置换p,FDR_q
松崎鹤雄,A,先叙后请型,53,18,仅控制事务,16.66036238394729,2.5276181434956744,1.2129201163619683,0.5761739777489897,2.55335239960533,0.37979085156600156,13,50,0.7047129528704713,0.8740228387189812
松崎鹤雄,A,先叙后请型,53,18,控制事务＋时期,18.91587301587301,-1.7280622941000245,0.7508635578583764,0.24800448310298154,2.2733302054286995,0.5652027998227482,11,37,0.7920620793792063,1
松崎鹤雄,B,论议收束型,53,15,仅控制事务,17.672626534890686,-5.0426915752654455,0.6365244379736318,0.27687559925771826,1.4633407971806074,0.4247294914449123,14,50,0.33325666743332566,0.6967930320696794
松崎鹤雄,B,论议收束型,53,15,控制事务＋时期,16.517460317460316,-2.863132674453428,0.4668153931957613,0.10747186602757708,2.0276619303194776,0.749352939904759,8,37,0.35904640953590466,1
松崎鹤雄,C,先请后叙型,53,17,仅控制事务,12.97906558849955,7.5866687009442435,2.0426101947628363,0.8914317977485107,4.680398902402786,0.4230459596057024,12,50,0.08650913490865092,0.42075579244207556
松崎鹤雄,C,先请后叙型,53,17,控制事务＋时期,14.317460317460318,5.061395627433363,2.109652002626395,0.7300517259125279,6.096323608607998,0.5414195896080544,12,37,0.1825481745182548,1
松崎鹤雄,D,连环请托型,53,3,仅控制事务,5.6879454926624735,-5.071595269174479,0.2938164848672994,0.06145655054394644,1.4047017936362096,0.7982927001451265,7,50,0.13511864881351188,0.4503954960450396
松崎鹤雄,D,连环请托型,53,3,控制事务＋时期,3.249206349206349,-0.4702006588799039,0.8219954648526077,0.14334338378583963,4.713691880245695,0.8910836396019464,7,37,1,1
缪荃孙,A,先叙后请型,35,16,仅控制事务,15.199311171009285,2.2876823685448966,1.1576281779161361,0.501045399270306,2.6746139177349666,0.4272689748435681,8,35,0.8303216967830321,0.8740228387189812
缪荃孙,A,先叙后请型,35,16,控制事务＋时期,14.645279866332498,3.8706289533357197,1.5890729439116538,0.5038756726085023,5.011460084984149,0.5860191941179198,7,29,0.5646443535564645,1
缪荃孙,B,论议收束型,35,11,仅控制事务,10.439832285115305,1.6004791853848455,1.1302951564252426,0.4530100221512391,2.8201741201474855,0.4664982805783131,9,35,0.8179718202817972,0.8740228387189812
缪荃孙,B,论议收束型,35,11,控制事务＋时期,11.232080200501253,-0.663086287146436,0.8770905229625697,0.2012121378502988,3.8232672923693194,0.7511619875927081,5,29,1,1
缪荃孙,C,先请后叙型,35,3,仅控制事务,6.307502246181492,-9.450006417661406,0.3087179005680485,0.08139608742131275,1.1709007785328556,0.680165922182832,7,35,0.10518894811051889,0.42075579244207556
缪荃孙,C,先请后叙型,35,3,控制事务＋时期,4.647786131996658,-4.707960377133308,0.4394361393736145,0.10745751033834307,1.7970276807975065,0.7185830443847965,6,29,0.25485745142548577,1
缪荃孙,D,连环请托型,35,5,仅控制事务,3.05335429769392,5.561844863731656,2.6664572864321605,0.68535498813304,10.374177737781316,0.6931602249639944,5,35,0.27008729912700874,0.6752182478175218
缪荃孙,D,连环请托型,35,5,控制事务＋时期,4.474853801169591,1.5004177109440269,1.674174174174174,0.22646796617873677,12.376404543058687,1.0206676259711482,4,29,0.6831531684683153,1
孙毓修,A,先叙后请型,14,4,仅控制事务,4.80188679245283,-5.727762803234504,0.67843631778058,0.16962395546428816,2.713507275690058,0.7072612906250147,4,14,0.7446425535744643,0.8740228387189812
孙毓修,A,先叙后请型,14,4,控制事务＋时期,4.559649122807018,-3.997493734335844,0.7127851140456183,0.15051706216644203,3.3754486799855856,0.793434755327578,5,10,0.7272827271727282,1
孙毓修,B,论议收束型,14,3,仅控制事务,4.183647798742138,-8.454627133872414,0.5976483164083378,0.15326493713994832,2.330497221158754,0.694316045022117,5,14,0.5157648423515765,0.8740228387189812
孙毓修,B,论议收束型,14,3,控制事务＋时期,3.82719298245614,-5.908521303258143,0.6304376224689745,0.13495777707730686,2.9450069824183904,0.786469681130039,6,10,0.7147428525714743,1
孙毓修,C,先请后叙型,14,6,仅控制事务,3.0707547169811322,20.923180592991912,4.399635036496351,1.0974004436683282,17.6387649249179,0.7084708965332944,5,14,0.06327936720632793,0.42075579244207556
孙毓修,C,先请后叙型,14,6,控制事务＋时期,4.421929824561404,11.2719298245614,2.8687673130193905,0.5742966974568107,14.330268540099702,0.8206740349404329,5,10,0.1965580344196558,1
孙毓修,D,连环请托型,14,1,仅控制事务,1.9437106918238993,-6.740790655884996,0.346329775648007,0.031050376407924657,3.8628940250072703,1.2305228657396385,5,14,0.6597334026659734,0.8740228387189812
孙毓修,D,连环请托型,14,1,控制事务＋时期,1.1912280701754385,-1.365914786967419,0.7770961145194274,0.07385475900064885,8.176566809944982,1.2007687959810798,5,10,1,1
夏敬观,A,先叙后请型,11,3,仅控制事务,3.9968553459119494,-9.062321326472267,0.5850785340314136,0.13237210724287043,2.586019805186605,0.7582430826351219,3,11,0.7269627303726963,0.8740228387189812
夏敬观,A,先叙后请型,11,3,控制事务＋时期,3.5,-4.545454545454547,0.6896551724137931,0.12488805574390269,3.808404686933561,0.8718394593078378,3,11,1,1
夏敬观,B,论议收束型,11,6,仅控制事务,3.138364779874214,26.014865637507146,3.8706624605678233,1.0598155458007112,14.13644850088488,0.6608952008632312,3,11,0.06417935820641793,0.42075579244207556
夏敬观,B,论议收束型,11,6,控制事务＋时期,3.8333333333333335,19.696969696969692,4.250000000000001,0.8470736798720178,21.323410736512344,0.8229164385411332,3,11,0.10905890941090589,1
夏敬观,C,先请后叙型,11,2,仅控制事务,2.7154088050314464,-6.5037164093767865,0.6728971962616822,0.1480810913836971,3.0577208238126383,0.772377725819893,3,11,0.7114528854711453,0.8740228387189812
夏敬观,C,先请后叙型,11,2,控制事务＋时期,2.166666666666667,-1.5151515151515165,0.8571428571428572,0.12869639983958212,5.708736829210482,0.9674404597100021,2,11,1,1
夏敬观,D,连环请托型,11,0,仅控制事务,1.14937106918239,-10.44882790165809,0,,,,0,,0.3483965160348397,0.6967930320696794
夏敬观,D,连环请托型,11,0,控制事务＋时期,1.5,-13.636363636363635,0,,,,0,,0.2206577934220658,1
易培基,A,先叙后请型,8,2,仅控制事务,2.0757575757575757,-0.9469696969696961,0.9391727493917276,0.15635986929041099,5.641124268029237,0.9147307007276025,3,8,1,1
易培基,A,先叙后请型,8,2,控制事务＋时期,1.5666666666666667,5.416666666666667,3.6000000000000005,0.09699836342096292,133.6105016922289,1.8439088914585775,3,8,1,1
易培基,B,论议收束型,8,1,仅控制事务,2.5515151515151517,-19.393939393939398,0.20865533230293665,0.019661459603617912,2.2143344683544073,1.205136128667574,3,8,0.23228767712322876,0.6636790774949394
易培基,B,论议收束型,8,1,控制事务＋时期,1.9,-11.249999999999998,0.18181818181818182,0.009547885839539923,3.462321585661352,1.503439582594657,3,8,0.5394846051539485,1
易培基,C,先请后叙型,8,1,仅控制事务,1.9621212121212122,-12.026515151515152,0.3566362715298886,0.035265427071874245,3.6066323516093086,1.1805386999200935,3,8,0.6508634913650864,0.8740228387189812
易培基,C,先请后叙型,8,1,控制事务＋时期,1.3666666666666667,-4.583333333333334,0.35294117647058826,0.010676607538416465,11.667327247932032,1.784852321211808,2,8,1,1
易培基,D,连环请托型,8,4,仅控制事务,1.4106060606060604,32.36742424242425,6.773648648648648,1.3325002707037568,34.43325080234843,0.8295983079431677,3,8,0.023659763402365978,0.42075579244207556
易培基,D,连环请托型,8,4,控制事务＋时期,3.1666666666666665,10.416666666666668,3.0833333333333335,0.29658630218539894,32.05456345890702,1.1946282250371931,3,8,0.5257647423525764,1
