类型代码,类型名称,书信数,特征,特征说明,均值,均值95%CI下限,均值95%CI上限,中位数,Q1,Q3,标准化均值,标准化95%CI下限,标准化95%CI上限
C,先请后叙型,42,lastRequestPosition,末次请求位置,0.37438377182959226,0.3248528114625805,0.4237698031099733,0.375,0.25,0.5,-1.5190810504425467,-1.7170068682298476,-1.3217343695784955
C,先请后叙型,42,postRequestContinuation,请求后续写比例,0.6256162281704079,0.5762301968900264,0.6751471885374198,0.625,0.5,0.75,1.5190810504425472,1.3217343695784944,1.717006868229849
C,先请后叙型,42,persuasionShare,说服行动占比,0.22238434874304439,0.15827539523968095,0.2915033271952914,0.15192307692307694,0.06923076923076923,0.3155594405594406,0.11703605273848365,-0.23993991572938028,0.5019091932929585
C,先请后叙型,42,informationShare,告知行动占比,0.6044791781334227,0.5344377793148499,0.6680133251338609,0.6666666666666666,0.5346153846153846,0.7777777777777778,0.10569142454389636,-0.2755427294898101,0.4515067165357874
C,先请后叙型,42,displayShare,展示行动占比,0.05168074726822139,0.029947064894981557,0.077922644700595,0,0,0.09772727272727275,-0.022236513276270325,-0.30773591047444304,0.3224839887360219
D,连环请托型,19,complexity,路径复杂度（log(去重行动数+1)）,1.8830370286510911,1.709556144951939,2.0625346079461107,1.9459101490553132,1.6094379124341003,2.1383330595080277,-0.3253493288792189,-0.7184535116937449,0.08138856478012196
D,连环请托型,19,requestShare,请求行动占比,0.2927470204429277,0.23063246349766373,0.3521957066579492,0.2857142857142857,0.16776315789473684,0.4,1.377862175006935,0.7430680937855142,1.9854117737095378
D,连环请托型,19,serialRequest,连续请求程度,0.8771929824561404,0.7807017543859649,0.9649122807017545,1,0.8333333333333333,1,2.5213353910156604,2.200636195428752,2.812880114276486
D,连环请托型,19,firstRequestPosition,首次请求位置,0.5572945286567578,0.4444935869084476,0.6628796674172062,0.6666666666666666,0.4642857142857143,0.7361111111111112,-0.0864914152365417,-0.4735362380036054,0.27579440157478624
D,连环请托型,19,lastRequestPosition,末次请求位置,0.8423463404500557,0.7911688604867784,0.8949157611609238,0.8333333333333334,0.75,0.9772727272727273,0.35089832007130384,0.14639300664775978,0.5609658315369805
D,连环请托型,19,postRequestContinuation,请求后续写比例,0.15765365954994437,0.1050842388390763,0.20883113951322152,0.16666666666666666,0.022727272727272728,0.25,-0.3508983200713035,-0.5609658315369804,-0.14639300664776034
D,连环请托型,19,persuasionShare,说服行动占比,0.11190948610364697,0.0723987794563809,0.15194296339516172,0.125,0,0.16228070175438597,-0.4981178208929757,-0.7181241070588775,-0.2752006065833559
D,连环请托型,19,informationShare,告知行动占比,0.5254652332248488,0.46711346580966484,0.5816144244039901,0.5625,0.42857142857142855,0.6157894736842104,-0.3243801467294407,-0.6419878339277213,-0.018761044885052598
D,连环请托型,19,displayShare,展示行动占比,0.06403030701220229,0.03319279656942869,0.09624053540180369,0.043478260869565216,0,0.13392857142857142,0.13999056826563125,-0.2650991211532446,0.5631126435274603
